Species,Class,therm,common_name,rec,neo,mal,log_bm,log_pl,log_rec,Subclade
Gonocephalus_chamaeleontinus,Reptilia,ectothermic,Chameleon forest dragon,40,0,0,5.13579843617925,4.66821552036698,3.68887945411394,Agamidae
Gorilla_gorilla,Mammalia,endothermic,Gorilla,40,9,6,11.7031325167338,5.6883947150271,3.68887945411394,Primates
Haliaeetus_leucocephalus,Aves,endothermic,Bald eagle,20,1,0,8.4554411833813,5.52861841184753,2.99573227355399,Accipitriformes
Heloderma_horridum,Reptilia,ectothermic,Mexican beaded lizard,33,4,4,6.25382881241638,4.86178261227564,3.49650756146648,Helodermatidae
Heloderma_suspectum,Reptilia,ectothermic,Gila monster,63,11,10,5.8916442129007,4.85750441594923,4.14313472639153,Helodermatidae
Heterocephalus_glaber,Mammalia,endothermic,Naked mole rat,145,2,1,4.00733318409443,5.39350190946856,4.97673374242057,Rodentia
Hydrochoerus_hydrochaeris,Mammalia,endothermic,Capybara,55,10,8,11.0421151104294,6.0673085078219,4.00733318523247,Rodentia
Hydrodynastes_gigas,Reptilia,ectothermic,Boipevassu cobra,33,1,1,7.91935619105145,5.47292356866897,3.49650756146648,Colubridae
Iguana_iguana,Reptilia,ectothermic,Green iguana,32,1,0,6.36302810454684,4.91798181257372,3.46573590279973,Iguanidae
Incilius_coniferus,Amphibia,ectothermic,Green climbing toad,20,0,0,4.54859983562966,5.49461611355586,2.99573227355399,Bufonidae
Lampropeltis_getula,Reptilia,ectothermic,Lampropeltis getula,33,11,11,7.64156444138129,5.17417570689538,3.49650756146648,Colubridae
Lampropeltis_triangulum,Reptilia,ectothermic,Milk snake,46,18,16,7.54960916526315,5.16345919666255,3.8286413964891,Colubridae
Lamprotornis_splendidus,Aves,endothermic,Splendid glossy_starling,23,0,0,4.81291579584389,5.36511762743271,3.13549421592915,Muscicapoidea
Langaha_madagascariensis,Reptilia,ectothermic,Madagascar leaf-nosed snake,24,0,0,6.90775527898214,5.09355921547329,3.17805383034795,Lamprophiidae
Larosterna_inca,Aves,endothermic,Inca tern,34,1,1,5.38907173018464,4.8754984526327,3.52636052461616,Charadriiformes
Leiothrix_lutea,Aves,endothermic,Pekin robin,42,2,0,3.06292352408091,5.58779599395373,3.73766961828337,Sylvioidea
Lemur_catta,Mammalia,endothermic,Ring-tailed lemur,95,27,22,7.97246601620723,5.22567654328369,4.55387689160054,Primates
Leontopithecus_chrysomelas,Mammalia,endothermic,Golden-headed tamarin,85,15,9,6.55108033501058,5.29761801638121,4.44265125649032,Primates
Leptodactylus_fallax,Amphibia,ectothermic,Dominican mountain chicken frog,24,11,8,5.05624580440601,5.78064627394412,3.17805383034795,Leptodactylidae
